All   channel acquired
Date[dd-mm-yy]= 01-11-22   Time= 17:10:36
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  4.938100	     0.030	     0.010	    -0.090	     0.095
  4.949400	     0.040	     0.000	    -0.080	     0.089
  4.960700	     0.020	     0.000	    -0.090	     0.092
  4.972000	     0.030	     0.010	    -0.090	     0.095
  4.983300	     0.030	     0.000	    -0.080	     0.085
  4.994600	     0.040	     0.030	    -0.100	     0.112
  5.005900	     0.030	     0.010	    -0.090	     0.095
  5.017200	     0.030	     0.020	    -0.090	     0.097
  5.028500	     0.030	     0.030	    -0.070	     0.082
  5.039800	     0.040	     0.000	    -0.070	     0.081
  5.051100	     0.030	     0.010	    -0.090	     0.095
  5.062400	     0.030	     0.030	    -0.100	     0.109
  5.073700	     0.030	     0.000	    -0.070	     0.076
  5.085000	     0.030	     0.020	    -0.080	     0.088
  5.096300	     0.030	     0.010	    -0.080	     0.086
  5.107600	     0.030	     0.010	    -0.090	     0.095
  5.118900	     0.020	     0.010	    -0.080	     0.083
  5.130200	     0.020	     0.020	    -0.080	     0.085
  5.141500	     0.030	     0.010	    -0.090	     0.095
  5.152800	     0.030	     0.010	    -0.070	     0.077
  5.164100	     0.020	     0.010	    -0.080	     0.083
  5.175400	     0.010	     0.010	    -0.090	     0.091
  5.186700	     0.020	     0.000	    -0.080	     0.082
  5.198000	     0.010	     0.020	    -0.100	     0.102
  5.209300	     0.030	     0.010	    -0.090	     0.095
  5.220600	     0.040	     0.010	    -0.090	     0.099
  5.231900	     0.020	     0.000	    -0.080	     0.082
  5.243200	     0.010	     0.010	    -0.080	     0.081
  5.254500	     0.020	     0.020	    -0.070	     0.075
  5.265800	     0.020	    -0.010	    -0.110	     0.112
  5.277100	     0.010	     0.010	    -0.110	     0.111
  5.288400	     0.020	     0.000	    -0.090	     0.092
  5.299700	     0.010	     0.000	    -0.090	     0.091
  5.311000	     0.020	     0.020	    -0.100	     0.104
  5.322300	     0.020	     0.000	    -0.090	     0.092
  5.333600	     0.020	     0.000	    -0.090	     0.092
  5.344900	     0.030	     0.010	    -0.080	     0.086
  5.356200	     0.030	     0.000	    -0.090	     0.095
  5.367500	     0.020	     0.000	    -0.090	     0.092
  5.378800	     0.020	     0.000	    -0.080	     0.082
  5.390100	     0.020	     0.000	    -0.100	     0.102
  5.401400	     0.020	     0.000	    -0.100	     0.102
  5.412700	     0.030	     0.010	    -0.080	     0.086
  5.424000	     0.020	     0.000	    -0.090	     0.092
  5.435300	     0.040	    -0.010	    -0.070	     0.081
  5.446600	     0.010	     0.000	    -0.090	     0.091
  5.457900	     0.020	     0.020	    -0.100	     0.104
  5.469200	     0.010	     0.020	    -0.100	     0.102
  5.480500	     0.020	     0.010	    -0.090	     0.093
  5.491800	     0.020	     0.020	    -0.070	     0.075
  5.503100	     0.010	     0.030	    -0.080	     0.086
  5.514400	     0.030	     0.030	    -0.080	     0.091
  5.525700	     0.030	     0.020	    -0.090	     0.097
  5.537000	     0.030	     0.020	    -0.100	     0.106
  5.548300	     0.020	     0.010	    -0.090	     0.093
  5.559600	     0.030	     0.010	    -0.080	     0.086
  5.570900	     0.040	     0.020	    -0.090	     0.100
  5.582200	     0.030	    -0.010	    -0.090	     0.095
  5.593500	     0.040	     0.000	    -0.090	     0.098
  5.604800	     0.030	     0.000	    -0.080	     0.085
  5.616100	     0.000	     0.000	    -0.080	     0.080
  5.627400	     0.030	     0.000	    -0.090	     0.095
  5.638700	     0.030	     0.000	    -0.100	     0.104
