All   channel acquired
Date[dd-mm-yy]= 20-10-22   Time= 15:15:17
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  2.476720	    -0.020	     0.020	    -0.010	     0.030
  2.483360	     0.000	    -0.020	    -0.020	     0.028
  2.490000	    -0.010	     0.010	    -0.050	     0.052
  2.496640	    -0.010	     0.000	     0.000	     0.010
  2.503280	     0.000	     0.030	    -0.060	     0.067
  2.509920	    -0.010	     0.010	    -0.010	     0.017
  2.516560	    -0.030	     0.010	    -0.010	     0.033
  2.523200	     0.000	    -0.010	    -0.010	     0.014
  2.529840	    -0.010	     0.000	    -0.020	     0.022
  2.536480	     0.010	    -0.010	    -0.050	     0.052
  2.543120	    -0.020	    -0.020	    -0.050	     0.057
  2.549760	    -0.020	    -0.010	    -0.010	     0.024
  2.556400	    -0.010	    -0.030	    -0.010	     0.033
  2.563040	     0.000	    -0.010	     0.010	     0.014
  2.569680	     0.010	     0.000	    -0.010	     0.014
  2.576320	     0.010	    -0.010	     0.010	     0.017
  2.582960	     0.020	    -0.020	    -0.030	     0.041
  2.589600	     0.020	     0.020	     0.000	     0.028
  2.596240	    -0.010	     0.000	    -0.060	     0.061
  2.602880	     0.010	     0.010	    -0.020	     0.024
  2.609520	    -0.020	     0.000	    -0.010	     0.022
  2.616160	     0.020	     0.020	    -0.050	     0.057
  2.622800	    -0.010	     0.000	    -0.010	     0.014
  2.629440	     0.000	     0.030	    -0.010	     0.032
  2.636080	     0.010	     0.010	     0.010	     0.017
  2.642720	     0.010	     0.000	    -0.030	     0.032
  2.649360	     0.000	     0.010	    -0.030	     0.032
  2.656000	     0.000	    -0.010	    -0.010	     0.014
  2.662640	    -0.010	    -0.020	     0.040	     0.046
  2.669280	    -0.010	    -0.020	    -0.050	     0.055
  2.675920	    -0.020	     0.000	     0.000	     0.020
  2.682560	    -0.020	     0.010	     0.020	     0.030
  2.689200	    -0.020	    -0.020	    -0.010	     0.030
  2.695840	    -0.010	     0.010	     0.000	     0.014
  2.702480	    -0.030	    -0.010	    -0.020	     0.037
  2.709120	    -0.020	     0.020	    -0.030	     0.041
  2.715760	     0.010	     0.000	    -0.010	     0.014
  2.722400	    -0.020	     0.000	     0.010	     0.022
  2.729040	     0.010	     0.000	    -0.010	     0.014
  2.735680	     0.020	    -0.010	     0.000	     0.022
  2.742320	     0.010	    -0.010	    -0.020	     0.024
  2.748960	     0.000	     0.000	    -0.010	     0.010
  2.755600	     0.000	    -0.010	     0.000	     0.010
  2.762240	    -0.010	     0.000	    -0.010	     0.014
  2.768880	    -0.020	    -0.010	    -0.010	     0.024
  2.775520	    -0.010	    -0.020	    -0.030	     0.037
  2.782160	    -0.020	    -0.010	     0.000	     0.022
  2.788800	     0.010	    -0.020	     0.020	     0.030
  2.795440	    -0.020	     0.010	    -0.010	     0.024
  2.802080	     0.010	    -0.010	    -0.020	     0.024
  2.808720	    -0.020	    -0.010	    -0.030	     0.037
  2.815360	     0.010	     0.000	    -0.030	     0.032
  2.822000	    -0.020	     0.000	    -0.020	     0.028
  2.828640	    -0.010	    -0.030	     0.020	     0.037
  2.835280	    -0.010	    -0.020	    -0.010	     0.024
  2.841920	    -0.020	     0.000	    -0.050	     0.054
  2.848560	     0.010	     0.000	    -0.030	     0.032
  2.855200	    -0.010	    -0.020	    -0.030	     0.037
  2.861840	     0.010	     0.020	    -0.060	     0.064
  2.868480	    -0.010	    -0.010	    -0.020	     0.024
  2.875120	     0.000	    -0.020	     0.000	     0.020
  2.881760	     0.000	    -0.010	    -0.020	     0.022
  2.888400	    -0.020	     0.000	     0.010	     0.022
  2.895040	     0.000	    -0.030	     0.000	     0.030
  2.901680	    -0.010	    -0.020	    -0.030	     0.037
  2.908320	    -0.010	    -0.020	    -0.030	     0.037
  2.914960	    -0.020	    -0.010	    -0.030	     0.037
  2.921600	    -0.020	     0.000	    -0.030	     0.036
